id,age,city
1,1,Achadinha
2,2,Toshloq
3,3,Santa Cruz
4,4,Buguruslan
5,5,Swinford
6,6,Tashla
7,7,Copa
8,8,Indianapolis
9,9,Vanadzor
10,10,Sukamaju
11,11,Kunting
12,12,Huangqiao
13,13,Itaberaí
14,14,Obong
15,15,Shamakhi
16,16,Ribeiro
17,17,Yidu
18,18,Tongchuan
19,19,Clervaux
20,20,Yangba
21,21,Sibulan
22,22,Sabunçu
23,23,Manuel Antonio Mesones Muro
24,24,Santo Antônio de Pádua
25,25,Kibara
26,26,Śniadowo
27,27,Itapaci
28,28,Cuilco
29,29,Maracanaú
30,30,Bungbulang
31,31,Engure
32,32,Pancanagara
33,33,Mazār-e Sharīf
34,34,Sāqayn
35,35,La Cueva
36,36,Heřmanova Huť
37,37,Cajicá
38,38,Stobreč
39,39,Zouila
40,40,Częstochowa
41,41,Hrabyně
42,42,Xiaochuan
43,43,Clichy
44,44,Ţammūn
45,45,Xiayang
46,46,Sungai Iyu
47,47,Canhestros
48,48,Xiayang
49,49,Rashaant
50,50,San Marcos
51,51,Uzunovo
52,52,Inabaan Sur
53,53,Chegdomyn
54,54,Boa Esperança
55,55,Malko Tŭrnovo
56,56,Ciudad Arce
57,57,Dingjia
58,58,Santa Ana
59,59,Ūdalah
60,60,Himaya
61,61,Benjamín Aceval
62,62,Täby
63,63,Kabare
64,64,Jenzan
65,65,Starominskaya
66,66,Meilong
67,67,Barbaza
68,68,Pechenizhyn
69,69,Idenao
70,70,Gråbo
71,71,Butare
72,72,Damiao
73,73,Osorno
74,74,Jian’ou
75,75,Canhas
76,76,Muang Pakxan
77,77,Karadaglije
78,78,Kampen (Overijssel)
79,79,Stung Treng
80,80,Shen’ao
81,81,Venustiano Carranza
82,82,Yinjiang
83,83,Heimahe
84,84,Hepu
85,85,Buang
86,86,Jiangluo
87,87,Bato
88,88,Jiale
89,89,Esmoriz
90,90,Staten Island
91,91,Korba
92,92,Taremskoye
93,93,Dzüünbulag
94,94,Itapetininga
95,95,San Pedro One
96,96,Chợ Mới
97,97,Bobo-Dioulasso
98,98,Shezë
99,99,Kalapanunggal
100,100,Ipoti
